SMILES,MLM
CN1C[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,16
CN1C[C@H](C(=O)Nc2ccc(C(F)(F)F)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,23
CN1C[C@H](C(=O)Nc2ccc(C#N)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,35
CCN(CC)C(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,83
CC(C)NC(=O)[C@H]1CN(C)C[C@@H]1c1ccc(/C=C/C(=O)Nc2ccccc2N)cc1,12
CN1C[C@H](C(=O)N2CCCCC2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,42
CN1C[C@H](C(=O)Nc2ccc(Cl)c(Cl)c2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,36
Nc1ccccc1NC(=O)/C=C/c1ccc([C@H]2CN(c3ncccn3)C[C@@H]2C(=O)Nc2ccc(Cl)cc2)cc1,44
CN1C[C@H](C(=O)NC2CC2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,7
Nc1ccccc1NC(=O)/C=C/c1ccc([C@H]2CN(C3CCOCC3)C[C@@H]2C(=O)Nc2ccc(Cl)cc2)cc1,44
Nc1ccccc1NC(=O)/C=C/c1ccc([C@H]2CN(Cc3ccccc3)C[C@@H]2C(=O)Nc2ccc(Cl)cc2)cc1,81
CC(C)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,38
Cc1ccc(NC(=O)[C@H]2CN(C)C[C@@H]2c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cn1,57
CN1C[C@H](C(=O)Nc2cccc(Cl)c2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,58
Cc1cc(NC(=O)[C@H]2CN(C)C[C@@H]2c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)ccc1Cl,65
Nc1ccccc1NC(=O)/C=C/c1ccc([C@H]2CN(CCF)C[C@@H]2C(=O)Nc2ccc(Cl)cc2)cc1,51
Nc1ccccc1NC(=O)/C=C/c1ccc(C(NCCO)C(=O)Nc2ccc(C(F)(F)F)cc2)cc1,33
CCNC(=O)N1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,25
CC(C)c1ccc(NC(=O)[C@H]2CN(C)C[C@@H]2c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1,54
CN1C[C@H](C(=O)Nc2ccccc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,67
Nc1ccccc1NC(=O)/C=C/c1ccc([C@H]2CN(CCO)C[C@@H]2C(=O)Nc2ccc(Cl)cc2)cc1,24
COc1cccc(NC(=O)[C@H]2CN(C)C[C@@H]2c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)c1,65
CN1C[C@H](C(=O)Nc2ccccn2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,40
CN1C[C@H](C(=O)Nc2ccc(F)cc2F)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,27
Cc1cc(NC(=O)[C@H]2CN(C)C[C@@H]2c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)ccc1F,62
CN1C[C@H](C(=O)Nc2ccc(F)c(Cl)c2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,34
COCCN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,72
CCN1C[C@H](C(=O)Nc2ccc(Cl)cc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,35
CN1C[C@H](C(=O)Nc2cccnc2)[C@@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,41
